"seq","sec","x","y"
13590,67.95,-7.000800132751465,-2.0069124698638916
13591,67.955,-7.000818729400635,-2.0099124908447266
13592,67.96,-7.000837326049805,-2.0129125118255615
13593,67.965,-7.000855922698975,-2.0159125328063965
13594,67.97,-7.0008745193481445,-2.0189125537872314
13595,67.975,-7.0008931159973145,-2.0219125747680664
13596,67.98,-7.000911712646484,-2.0249125957489014
13597,67.985,-7.000930309295654,-2.0279126167297363
13598,67.99,-7.000948905944824,-2.0309126377105713
13599,67.995,-7.000967502593994,-2.0339126586914062
13600,68.0,-7.000986099243164,-2.036912679672241
13601,68.005,-7.001004695892334,-2.039912700653076
13602,68.01,-7.001023292541504,-2.042912721633911
13603,68.015,-7.001046657562256,-2.0466556549072266
13604,68.02,-7.001065254211426,-2.050405979156494
13605,68.025,-7.001079559326172,-2.0541563034057617
13606,68.03,-7.001089096069336,-2.0579066276550293
13607,68.035,-7.001094341278076,-2.061657190322876
13608,68.04,-7.001094341278076,-2.0654077529907227
13609,68.045,-7.001090049743652,-2.0691580772399902
13610,68.05,-7.0010809898376465,-2.072908639907837
13611,68.055,-7.001067161560059,-2.0766589641571045
13612,68.06,-7.001049041748047,-2.080409288406372
13613,68.065,-7.001026153564453,-2.0841598510742188
13614,68.07,-7.000998497009277,-2.0879101753234863
13615,68.075,-7.0009660720825195,-2.091660499572754
13616,68.08,-7.000929355621338,-2.0954110622406006
13617,68.085,-7.000887870788574,-2.099161148071289
13618,68.09,-7.0008416175842285,-2.1029114723205566
13619,68.095,-7.000791072845459,-2.106661796569824
13620,68.1,-7.000735759735107,-2.1104118824005127
13621,68.105,-7.000675678253174,-2.114161729812622
13622,68.11,-7.000611305236816,-2.1179115772247314
13623,68.115,-7.000528335571289,-2.122404098510742
13624,68.12,-7.0004377365112305,-2.126904010772705
13625,68.125,-7.000339984893799,-2.131403684616089
13626,68.13,-7.000234127044678,-2.1359031200408936
13627,68.135,-7.000120639801025,-2.1404025554656982
13628,68.14,-7.0,-2.144901752471924
13629,68.145,-6.999871730804443,-2.1494007110595703
13630,68.15,-6.9997358322143555,-2.153899669647217
13631,68.155,-6.999592304229736,-2.158398151397705
13632,68.16,-6.999441623687744,-2.162896156311035
13633,68.165,-6.9992828369140625,-2.1673941612243652
13634,68.17,-6.999116897583008,-2.171891927719116
13635,68.175,-6.998943328857422,-2.176389455795288
13636,68.18,-6.998762130737305,-2.180886745452881
13637,68.185,-6.998573303222656,-2.1853837966918945
